"","ID","state","attend_online","attend_meet","buttons_signs","donate","contact_congr","registered","party","vote","votechoice","ft_biden","ft_trump","ft_harris","ft_pence","ft_fauci","ft_scotus","ft_congress","ft_police","ft_science","ft_blm","limits_campaigns","limit_imports","immigration","refugees","act_ineq","hist_discrim","econ_mobility","tax_rich","aca","vaccines","reg_emissions","background_checks","freetrade","minwage"
"2479",233800,25,"No","No","No","No","No",NA,1,"Yes","Biden",100,30,88,50,100,85,70,70,85,60,"Favor",2,"Same","Favor","Favor a great deal","Agree somewhat","A great deal easier","Favor","Approve","Approve","Approve","Approve","Approve","Same"
"2480",233817,45,"No","No","No","No","No",1,NA,"No",NA,50,60,0,50,50,50,50,80,80,0,"Oppose",1,"Increased a litte","Neutral","Neutral","Neutral","Moderately harder","Oppose","Neutral","Disapprove","Disapprove","Disapprove","Disapprove","Lowered"
"2481",233824,NA,"No","No","No","No","No",3,NA,"No",NA,70,40,70,50,85,70,60,100,100,100,"Favor",1,"Decreased a lot","Oppose","Favor a moderate amount","Agree somewhat","A little harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2482",233831,37,"No","No","No","No","No",NA,1,"Yes","Biden",100,0,85,70,100,100,70,100,85,50,"Favor",2,"Same","Favor","Favor a moderate amount","Neutral","A great deal harder","Favor","Neutral","Approve","Approve","Approve","Approve","Raised"
"2483",233848,37,"No","No","No","No","No",NA,2,"Yes","Trump",50,50,0,40,40,50,40,75,85,0,"Favor",1,"Decreased a lot","Neutral","Favor a moderate amount","Disagree strongly","Moderately harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2484",233886,49,"No","No","No","No","No",NA,2,"Yes","Biden",68,0,72,35,88,65,68,80,95,50,"Oppose",2,"Increased a litte","Favor","Oppose a little","Neutral","A great deal harder","Favor","Neutral","Approve","Neutral","Approve","Neutral","Raised"
"2485",233893,55,"No","No","No","No","No",NA,NA,"Yes","Biden",90,30,80,50,95,75,80,80,95,80,"Favor",2,"Same","Favor","Favor a little","Neutral","Moderately harder","Favor","Approve","Approve","Approve","Approve","Approve","Same"
"2486",233916,37,"No","No","No","No","No",1,4,"Yes","Trump",50,50,50,50,50,50,50,60,70,70,"Neutral",1,"Decreased a little","Neutral","Favor a great deal","Agree Strongly","Moderately harder","Favor","Approve","Disapprove","Approve","Neutral","Neutral","Raised"
"2487",233923,48,"No","No","No","No","No",NA,NA,"No",NA,40,60,15,70,100,85,70,70,100,NA,"Neutral",2,"Same","Neutral","Oppose a great deal","Agree somewhat","Moderately harder","Oppose","Neutral","Approve","Neutral","Approve","Approve","Same"
"2488",233947,53,"Yes","No","Yes","No","No",NA,NA,"Yes","Trump",15,100,40,85,50,60,50,70,60,50,"Neutral",1,"Decreased a little","Neutral","Neutral","Neutral","Moderately harder","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Same"
"2489",233954,13,"No","No","No","No","No",NA,NA,"No",NA,100,0,100,0,50,50,70,50,50,100,"Neutral",2,"Same","Oppose","Oppose a great deal","Agree somewhat","A little harder","Favor","Approve","Neutral","Neutral","Neutral","Neutral","Raised"
"2490",233985,51,"No","No","No","Yes","No",NA,NA,"Yes","Biden",100,0,100,15,100,15,0,70,100,100,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","A great deal easier","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2491",233992,23,"No","No","Yes","No","No",NA,4,NA,NA,15,85,0,85,50,70,30,100,70,0,"Favor",1,"Decreased a little","Neutral","Oppose a great deal","Disagree Somewhat","Moderately harder","Oppose","Disapprove","Approve","Approve","Approve","Approve","Eliminated"
"2492",234001,10,"No","No","No","Yes","No",NA,1,"Yes","Biden",100,0,100,10,90,50,50,75,80,90,"Neutral",2,"Increased a litte","Favor","Favor a great deal","Agree Strongly","A little harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2493",234018,6,"No","No","No","No","No",NA,1,"Yes","Biden",60,0,70,0,85,40,15,85,100,50,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","Moderately harder","Favor","Approve","Disapprove","Approve","Approve","Approve","Raised"
"2494",234025,NA,"No","No","No","No","No",3,NA,"No",NA,60,40,50,40,70,85,85,100,100,70,"Neutral",2,"Increased a lot","Neutral","Neutral","Agree somewhat","Moderately Easier","Neutral","Approve","Approve","Approve","Approve","Disapprove","Raised"
"2495",234032,42,"No","No","Yes","No","No",NA,1,NA,NA,60,50,60,50,85,80,50,75,100,100,"Neutral",1,"Same","Favor","Favor a moderate amount","Neutral",NA,NA,NA,NA,NA,NA,NA,NA
"2496",234056,12,"No","No","No","No","No",NA,4,NA,NA,15,60,15,60,80,70,50,70,50,70,"Favor",1,"Decreased a lot","Oppose","Favor a great deal","Neutral","A great deal harder","Favor","Approve","Approve","Approve","Approve","Disapprove","Same"
"2497",234063,48,"No","No","No","No","No",NA,NA,"Yes","Biden",60,0,60,0,0,50,50,60,50,100,"Neutral",2,"Decreased a little","Oppose","Oppose a great deal","Neutral","Same","Oppose","Disapprove","Disapprove","Neutral","Disapprove","Disapprove","Same"
"2498",234070,18,"No","No","No","No","No",NA,NA,"Yes","Trump",70,70,60,85,100,85,70,85,85,70,"Favor",2,"Same","Favor","Neutral","Agree somewhat","Same","Favor","Neutral","Approve","Approve","Approve","Neutral","Raised"
"2499",234087,8,"No","No","Yes","No","No",NA,2,"Yes","Trump",0,100,0,100,40,85,70,85,70,30,"Favor",1,"Same","Neutral","Oppose a great deal","Disagree Somewhat","Same","Neutral","Disapprove","Neutral","Disapprove","Approve","Neutral","Same"
"2500",234094,42,"No","No","No","No","No",NA,1,"Yes","Biden",60,0,70,50,85,70,70,100,70,50,"Neutral",1,"Same","Favor","Neutral","Agree somewhat","Moderately harder","Favor","Approve","Approve","Disapprove","Approve","Neutral","Raised"
"2501",234100,48,"Yes","No","Yes","No","Yes",NA,NA,"Yes","Biden",70,NA,100,0,100,30,40,70,100,70,"Favor",2,"Increased a litte","Favor","Favor a moderate amount","Agree somewhat","Moderately harder","Favor","Neutral","Approve","Approve","Approve","Neutral","Raised"
"2502",234117,22,"No","No","No","No","No",NA,1,"Yes","Biden",75,0,100,0,100,65,40,35,100,95,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","Same","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2503",234124,12,"Yes","No","No","No","Yes",NA,2,"Yes","Trump",0,100,0,100,50,50,0,100,50,0,"Favor",1,"Decreased a lot","Oppose","Favor a great deal","Disagree strongly","Moderately harder","Favor","Disapprove","Approve","Approve","Approve","Neutral","Raised"
"2504",234131,25,"Yes","Yes","No","No","No",NA,2,"Yes","Trump",15,70,85,60,15,50,0,70,100,60,"Neutral",1,"Same","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Disapprove","Approve","Approve","Neutral","Same"
"2505",234155,8,"No","No","Yes","No","Yes",NA,2,"Yes","Biden",65,1,60,1,85,60,40,40,85,85,"Favor",2,"Same","Neutral","Neutral","Agree somewhat","Same","Favor","Approve","Approve","Approve","Approve","Approve","Same"
"2506",234179,34,"Yes","No","No","Yes","No",NA,1,"Yes","Biden",63,0,60,10,80,65,65,65,90,70,"Favor",2,"Increased a litte","Favor","Favor a moderate amount","Agree somewhat","Moderately Easier","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2507",234186,10,"No","No","No","No","No",NA,4,"Yes","Biden",75,0,75,0,100,30,55,95,90,60,"Favor",2,"Increased a litte","Favor","Favor a great deal","Agree somewhat","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2508",234193,39,"No","No","No","No","No",NA,NA,"Yes","Trump",40,70,30,70,85,70,70,60,70,60,"Favor",1,"Decreased a little","Neutral","Oppose a moderate amount","Disagree Somewhat","Moderately harder","Neutral","Disapprove","Neutral","Approve","Approve","Neutral","Same"
"2509",234216,17,"No","No","No","No","No",NA,NA,"Yes","Trump",50,100,15,85,15,100,50,100,85,30,"Oppose",1,"Same","Oppose","Neutral","Agree somewhat","Little easier","Neutral","Disapprove","Approve","Neutral","Neutral","Approve","Same"
"2510",234223,17,"No","No","No","No","No",NA,NA,"Yes","Biden",85,0,85,0,85,85,70,70,85,85,"Oppose",1,"Same","Favor","Oppose a moderate amount","Neutral","A great deal harder","Oppose","Approve","Approve","Neutral","Approve","Approve","Raised"
